step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,is_fraud
421,CASH_OUT,770.53,4645.01,3972.91,1134.66,1823.46,0
350,CASH_OUT,436.26,2328.89,1905.49,378.07,707.89,0
213,TRANSFER,115.04,3795.14,3689.95,2614.44,2727.33,0
216,DEBIT,126.07,5826.79,5720.54,2631.24,2730.9,0
59,DEBIT,1160.7,5593.26,4455.75,2480.24,3381.59,0
327,DEBIT,160.49,2649.41,2510.02,2407.73,2554.31,0
530,DEBIT,401.86,3913.49,3588.87,1679.46,2039.9,0
510,TRANSFER,62.88,4127.42,4070.9,2787.48,2840.01,0
733,PAYMENT,235.49,4451.8,4257.57,1954.44,2163.96,0
30,TRANSFER,590.25,2936.13,2435.78,1512.89,1954.31,0
566,CASH_OUT,52.99,4057.44,4007.13,1688.11,1735.91,0
591,DEBIT,205.34,3907.08,3737.44,4020.64,4181.05,0
325,TRANSFER,196.13,6157.3,5968.74,265.02,418.36,0
211,TRANSFER,493.48,6213.68,5726.43,2499.79,2869.24,0
266,TRANSFER,462.93,4781.28,4354.78,320.89,691.1,0
508,DEBIT,492.45,4411.94,3948.02,1891.77,2285.42,0
641,PAYMENT,397.85,5209.89,4834.83,1566.37,1899.07,0
478,TRANSFER,462.36,3775.14,3313.45,-85.03,265.03,0
383,PAYMENT,99.73,3279.75,3193.15,2389.04,2464.63,0
485,DEBIT,399.7,3589.67,3256.89,1619.96,1964.71,0
53,TRANSFER,865.96,4047.78,3265.1,-99.21,540.44,0
452,PAYMENT,341.69,3254.79,2945.0,2839.57,3149.37,0
32,TRANSFER,197.57,5243.09,5078.0,3435.01,3629.26,0
713,PAYMENT,213.7,6094.57,5897.41,3490.12,3667.07,0
661,TRANSFER,823.47,2619.35,1958.25,2358.96,3158.0,0
378,DEBIT,17.86,5037.69,5020.09,2046.06,2059.09,0
278,CASH_OUT,1519.9,4670.1,3373.75,3328.16,4411.68,0
545,DEBIT,41.64,5512.26,5478.62,3682.38,3720.54,0
474,CASH_OUT,264.76,4980.59,4763.05,3133.57,3379.35,0
525,DEBIT,120.58,2819.6,2717.34,1058.46,1173.36,0
384,TRANSFER,487.93,3106.42,2689.35,2201.34,2551.21,0
176,DEBIT,548.42,5044.14,4601.81,2439.52,2951.24,0
55,PAYMENT,379.73,6543.17,6218.17,190.38,499.09,0
211,TRANSFER,298.0,1678.72,1428.82,2469.36,2705.08,0
394,CASH_OUT,56.41,5518.59,5469.19,4272.99,4315.41,0
316,TRANSFER,242.34,6784.43,6571.89,2639.94,2881.99,0
377,TRANSFER,290.35,4770.46,4518.49,3473.41,3682.2,0
207,PAYMENT,121.85,5825.3,5719.83,2182.91,2298.44,0
697,PAYMENT,422.79,3945.4,3599.58,1926.78,2303.84,0
273,CASH_OUT,381.27,4820.95,4514.01,2381.27,2732.24,0
629,DEBIT,256.53,2568.63,2353.04,1184.17,1418.51,0
291,PAYMENT,328.82,1483.49,1170.67,1036.22,1351.08,0
330,TRANSFER,252.52,6414.15,6162.09,3266.3,3456.99,0
449,DEBIT,58.41,3522.51,3464.93,3372.34,3413.24,0
196,DEBIT,473.94,4316.71,3889.76,1008.89,1425.75,0
164,PAYMENT,408.72,2920.34,2549.89,2968.0,3297.49,0
282,CASH_OUT,95.83,2885.05,2802.36,1913.04,1983.68,0
598,PAYMENT,431.92,4739.24,4326.85,2339.81,2666.27,0
108,PAYMENT,442.98,3905.63,3483.49,2460.22,2814.39,0
326,PAYMENT,443.79,5566.96,5136.99,2994.35,3314.35,0
500,CASH_OUT,591.83,5678.81,5099.35,2082.72,2507.11,0
525,PAYMENT,772.23,5481.27,4796.4,3410.16,4162.94,0
323,TRANSFER,233.08,5357.9,5135.69,2309.41,2494.39,0
61,PAYMENT,582.05,7366.65,6807.14,2624.18,3203.13,0
12,TRANSFER,228.34,3398.61,3201.85,1166.74,1392.64,0
350,CASH_OUT,421.18,4917.6,4502.38,4158.66,4471.5,0
602,TRANSFER,644.53,6699.03,6171.24,2469.82,3059.23,0
21,TRANSFER,162.2,6896.81,6734.8,2713.0,2855.78,0
660,CASH_OUT,21.48,2867.35,2846.86,391.81,411.3,0
503,CASH_OUT,148.48,4531.47,4409.92,1177.3,1285.52,0
6,PAYMENT,711.19,7037.18,6374.89,3237.88,3775.94,0
256,DEBIT,131.73,5762.12,5655.84,2286.89,2382.13,0
164,DEBIT,684.24,5292.89,4640.1,86.22,689.2,0
706,CASH_OUT,149.17,4673.47,4530.29,3038.29,3186.86,0
413,CASH_OUT,279.34,4424.3,4167.17,1456.22,1708.07,0
241,CASH_OUT,329.82,5432.33,5111.95,3411.32,3712.52,0
207,TRANSFER,131.14,4621.44,4513.96,1912.16,2042.69,0
419,TRANSFER,281.84,4936.13,4695.1,2204.71,2459.33,0
4,TRANSFER,70.68,5117.9,5055.5,3178.95,3229.28,0
192,PAYMENT,250.68,3982.89,3780.22,1102.51,1343.19,0
123,DEBIT,309.11,5798.19,5523.19,1007.15,1257.34,0
461,TRANSFER,23.16,9371.37,9351.61,1803.5,1819.74,0
498,TRANSFER,147.32,2334.52,2205.09,2827.17,2952.71,0
348,DEBIT,411.75,5486.02,5121.61,669.12,1073.09,0
105,CASH_OUT,117.11,3859.71,3745.42,331.97,422.99,0
276,CASH_OUT,462.84,5866.1,5470.8,2823.72,3215.96,0
627,PAYMENT,496.04,5069.84,4584.34,1397.02,1770.11,0
152,TRANSFER,410.43,6142.78,5779.47,1607.77,1902.17,0
122,CASH_OUT,577.18,6763.26,6263.68,143.19,561.16,0
83,TRANSFER,65.63,5288.63,5229.53,1321.02,1381.28,0
607,PAYMENT,664.65,6698.08,6110.83,1992.43,2629.98,0
90,DEBIT,133.15,1483.55,1370.18,2930.38,3029.31,0
433,TRANSFER,359.56,7385.68,7061.88,1228.77,1511.56,0
743,CASH_OUT,1046.22,5562.59,4693.85,3657.38,4450.95,0
477,TRANSFER,246.27,6616.77,6402.42,1315.44,1489.81,0
307,CASH_OUT,336.3,3170.19,2863.09,1316.91,1608.16,0
154,DEBIT,133.93,3753.85,3635.63,3537.36,3659.23,0
2,DEBIT,1039.36,5218.91,4216.15,2211.46,3141.03,0
116,PAYMENT,147.62,4974.44,4848.76,1447.98,1568.5,0
709,CASH_OUT,527.26,5424.6,4900.53,1844.87,2301.74,0
107,DEBIT,771.3,6626.77,5888.68,3353.07,3914.75,0
15,CASH_OUT,563.24,2352.17,1792.58,3466.2,3886.54,0
607,PAYMENT,429.29,6460.73,6045.34,1183.21,1603.72,0
312,PAYMENT,355.39,5012.42,4718.01,1957.57,2287.53,0
266,PAYMENT,100.05,4694.33,4603.76,2090.16,2187.89,0
534,PAYMENT,1008.71,2793.33,1952.07,1013.76,1997.26,0
389,DEBIT,403.67,5754.57,5365.58,1944.31,2305.52,0
680,DEBIT,336.46,1378.84,1070.36,2005.32,2334.54,0
348,CASH_OUT,123.21,5972.59,5867.53,3140.21,3241.86,0
530,CASH_OUT,349.17,2761.84,2417.59,3207.43,3452.23,0
653,DEBIT,320.29,5080.19,4816.58,1670.79,1901.01,0
345,TRANSFER,1046.2,4821.25,3866.31,1786.05,2552.75,0
212,TRANSFER,336.3,6754.31,6436.77,2664.29,2909.32,0
725,CASH_OUT,344.88,4732.02,4452.06,1414.81,1692.61,0
169,TRANSFER,124.68,3958.79,3844.14,2588.64,2702.15,0
30,PAYMENT,175.42,4240.1,4071.14,1912.09,2076.49,0
430,CASH_OUT,483.52,6909.32,6515.97,1030.6,1454.68,0
734,DEBIT,52.1,5804.45,5757.43,1043.16,1081.92,0
65,PAYMENT,662.18,4421.56,3857.57,3447.06,4059.16,0
632,PAYMENT,674.55,4645.33,4016.25,1843.58,2387.56,0
618,TRANSFER,159.29,2649.23,2518.02,3640.35,3752.47,0
691,DEBIT,430.46,5582.71,5157.67,1486.36,1823.92,0
314,CASH_OUT,788.44,2360.28,1588.44,2291.21,2921.32,0
190,CASH_OUT,300.34,6127.69,5876.25,4392.68,4627.63,0
381,CASH_OUT,257.54,5192.93,4970.25,942.61,1185.61,0
106,TRANSFER,283.83,8580.43,8320.01,102.19,365.58,0
627,CASH_OUT,402.98,3349.8,2969.54,3286.59,3652.76,0
493,PAYMENT,196.04,4846.01,4671.82,1173.19,1318.59,0
360,PAYMENT,239.94,7697.43,7497.98,1979.29,2205.4,0
384,DEBIT,408.97,6787.08,6451.39,1414.08,1783.44,0
530,CASH_OUT,223.88,3955.68,3731.81,2268.16,2437.96,0
389,PAYMENT,114.31,5335.95,5234.09,1049.46,1151.7,0
624,TRANSFER,46.67,5003.0,4957.52,1820.06,1859.5,0
687,PAYMENT,341.38,5422.93,5116.89,2449.82,2733.78,0
706,CASH_OUT,755.39,3951.98,3208.32,991.69,1545.87,0
461,DEBIT,446.37,4866.02,4501.09,1299.92,1681.79,0
552,TRANSFER,118.7,2602.92,2505.25,1652.62,1739.27,0
232,TRANSFER,174.28,5202.69,5030.86,571.18,701.76,0
29,PAYMENT,255.99,5675.03,5421.73,1577.44,1766.81,0
298,CASH_OUT,7800.47,8800.92,0.0,2118.8,3172.49,1
648,TRANSFER,1106.84,2577.42,1613.33,1600.45,2469.83,0
100,PAYMENT,1022.11,6482.8,5572.62,1728.62,2553.01,0
406,TRANSFER,368.33,5546.79,5221.47,1980.1,2273.52,0
143,DEBIT,2012.1,3910.98,2224.82,1344.26,3294.94,0
319,DEBIT,182.04,4579.1,4400.76,2691.06,2849.23,0
107,TRANSFER,248.36,2749.0,2537.73,3435.98,3678.32,0
546,DEBIT,627.27,3461.88,2871.58,1535.62,2031.15,0
603,PAYMENT,410.56,4193.28,3859.32,2485.2,2786.74,0
564,DEBIT,428.01,6842.63,6496.9,1760.38,2131.41,0
524,TRANSFER,138.63,4040.74,3911.71,2365.49,2476.9,0
175,CASH_OUT,318.48,5960.32,5683.94,3565.78,3865.33,0
395,PAYMENT,184.42,4192.53,4020.82,2508.66,2686.41,0
78,DEBIT,93.01,5371.92,5295.76,226.59,304.88,0
279,TRANSFER,203.98,4787.91,4585.98,2454.0,2656.23,0
376,DEBIT,410.64,6309.58,5919.59,3232.86,3588.43,0
497,PAYMENT,557.49,4197.78,3654.09,1778.4,2213.95,0
72,CASH_OUT,44.61,2641.21,2604.3,2995.63,3033.4,0
604,PAYMENT,330.16,2927.08,2641.81,1309.88,1544.69,0
341,DEBIT,307.34,4202.18,3933.67,514.46,803.73,0
655,TRANSFER,395.03,3126.41,2767.95,2141.17,2429.71,0
392,CASH_OUT,120.88,5615.32,5511.44,243.52,339.33,0
407,DEBIT,123.23,4301.35,4201.27,1760.23,1867.39,0
515,CASH_OUT,769.17,8561.91,7889.83,3286.84,3835.18,0
610,PAYMENT,161.19,2393.43,2256.27,90.24,206.91,0
118,PAYMENT,238.62,5305.45,5096.14,720.5,937.37,0
380,PAYMENT,259.15,3308.07,3090.54,967.97,1154.96,0
23,DEBIT,187.48,4259.9,4100.1,1936.68,2094.75,0
353,DEBIT,472.9,5212.13,4774.51,1634.28,2013.36,0
605,TRANSFER,444.41,1511.94,1121.91,3399.14,3740.64,0
644,DEBIT,296.69,5355.24,5097.39,2954.35,3178.84,0
211,PAYMENT,197.11,7854.36,7675.62,2495.27,2678.39,0
288,CASH_OUT,278.45,4319.84,4054.1,2145.63,2420.03,0
410,TRANSFER,351.71,5389.71,5081.69,2393.23,2654.22,0
295,PAYMENT,174.47,6537.38,6377.3,1138.02,1310.38,0
133,TRANSFER,498.35,4754.07,4259.09,2857.21,3294.97,0
227,TRANSFER,658.8,4128.56,3532.74,887.96,1475.94,0
301,TRANSFER,858.72,1586.4,743.17,2835.38,3619.37,0
386,PAYMENT,823.84,5961.49,5171.65,3186.14,3936.85,0
685,TRANSFER,257.8,4830.25,4620.98,2210.86,2454.72,0
405,PAYMENT,365.07,3480.97,3157.58,1823.79,2132.29,0
288,DEBIT,292.25,5189.9,4915.28,2400.31,2651.65,0
491,TRANSFER,291.4,4124.48,3833.85,-861.52,-629.23,0
575,PAYMENT,276.89,4207.36,3960.46,2302.26,2504.83,0
320,CASH_OUT,334.89,5909.44,5635.31,1886.65,2187.85,0
364,DEBIT,733.82,2992.43,2322.89,1949.37,2470.44,0
162,TRANSFER,419.84,6570.97,6224.47,2706.53,3035.13,0
643,DEBIT,115.73,2903.47,2793.49,1925.23,2009.51,0
645,CASH_OUT,639.83,4005.95,3429.12,859.79,1344.28,0
130,CASH_OUT,391.01,7884.42,7515.04,1858.6,2207.23,0
258,TRANSFER,476.78,6691.03,6226.71,2067.56,2491.2,0
203,PAYMENT,413.77,5146.41,4763.35,2114.93,2456.83,0
686,TRANSFER,427.78,3589.2,3194.58,2161.92,2472.94,0
49,DEBIT,442.29,4206.09,3785.51,3039.37,3406.48,0
155,DEBIT,56.99,5109.91,5054.72,913.97,959.89,0
234,DEBIT,472.46,5056.28,4596.19,2175.7,2608.54,0
417,DEBIT,181.2,4863.69,4717.41,3289.93,3448.25,0
185,TRANSFER,223.33,4953.75,4750.24,265.39,454.66,0
399,TRANSFER,332.84,4678.44,4397.77,2179.65,2461.26,0
556,DEBIT,949.35,2837.03,1914.2,1414.62,2354.37,0
616,CASH_OUT,135.73,4225.23,4099.04,1629.29,1755.1,0
74,TRANSFER,324.22,6371.94,6085.32,1095.19,1370.48,0
104,TRANSFER,271.55,2947.5,2720.04,1830.45,2059.57,0
71,DEBIT,633.5,4715.67,4165.92,3841.26,4289.74,0
677,PAYMENT,265.52,3770.37,3520.58,735.57,996.51,0
485,PAYMENT,394.33,5167.03,4835.45,830.39,1144.18,0
395,CASH_OUT,136.1,4417.05,4305.62,698.07,803.79,0
588,PAYMENT,707.65,7216.09,6524.29,3727.42,4434.94,0
436,PAYMENT,85.02,5759.87,5678.86,1537.66,1615.5,0
175,DEBIT,467.86,3032.3,2639.32,1974.36,2308.51,0
380,TRANSFER,396.17,6006.84,5666.74,1597.22,1881.89,0
523,CASH_OUT,439.64,3838.02,3400.84,1055.58,1366.69,0
27,TRANSFER,86.33,4134.51,4053.22,1764.85,1840.81,0
451,PAYMENT,261.14,5470.73,5229.93,4458.24,4646.64,0
370,PAYMENT,612.42,4262.38,3734.76,3392.07,3992.25,0
52,DEBIT,1044.44,6339.28,5441.24,1147.06,2171.73,0
196,PAYMENT,305.8,3838.23,3591.17,2647.57,2911.73,0
334,CASH_OUT,573.11,4071.58,3529.59,1168.48,1675.68,0
255,TRANSFER,368.25,4015.44,3717.66,223.63,513.65,0
216,TRANSFER,318.26,4151.54,3896.62,3019.51,3248.4,0
483,DEBIT,237.36,6648.79,6424.27,3160.09,3378.76,0
301,CASH_OUT,334.11,5943.19,5612.5,3046.05,3290.13,0
370,CASH_OUT,538.01,7564.92,7053.11,1530.13,1920.55,0
594,TRANSFER,569.2,8401.47,7892.42,1833.22,2284.8,0
70,TRANSFER,105.35,3453.92,3359.4,2749.77,2823.91,0
268,CASH_OUT,220.04,5105.63,4910.4,2391.5,2574.18,0
55,PAYMENT,129.76,3235.7,3123.47,1606.36,1724.74,0
690,PAYMENT,346.99,3833.59,3519.79,380.93,707.24,0
138,CASH_OUT,253.71,4054.88,3830.03,2113.88,2337.47,0
610,CASH_OUT,429.02,3414.27,3019.73,3079.01,3488.32,0
142,PAYMENT,450.74,3422.17,2980.61,802.41,1172.9,0
241,DEBIT,27.83,4783.57,4755.77,2638.76,2665.33,0
452,CASH_OUT,332.14,3174.92,2903.98,2331.54,2614.5,0
618,PAYMENT,743.62,6263.19,5611.08,2750.15,3320.44,0
133,DEBIT,220.11,3623.37,3439.33,2871.98,3088.4,0
159,DEBIT,214.76,9214.35,9027.42,1305.53,1473.58,0
656,TRANSFER,658.29,4322.92,3758.44,383.04,849.02,0
240,TRANSFER,587.63,5108.03,4617.41,1466.48,1920.6,0
156,TRANSFER,142.59,3056.99,2921.13,2889.13,3004.63,0
553,CASH_OUT,548.19,7559.14,7066.18,1458.0,1899.51,0
68,PAYMENT,172.7,6679.25,6509.34,1305.96,1454.03,0
645,TRANSFER,212.89,5445.37,5273.67,178.65,384.08,0
651,PAYMENT,142.47,2979.8,2863.92,3752.65,3864.87,0
637,PAYMENT,104.52,5316.0,5223.95,2825.71,2915.2,0
220,TRANSFER,362.45,3317.85,3022.07,2769.9,3060.6,0
85,CASH_OUT,89.19,7193.53,7117.49,2967.73,3052.15,0
317,DEBIT,373.54,6213.79,5841.29,2576.71,2855.85,0
249,PAYMENT,364.83,5143.16,4836.05,1755.67,2022.38,0
713,PAYMENT,295.21,1345.44,1097.57,1836.24,2087.43,0
470,TRANSFER,228.82,3524.88,3315.57,1572.44,1778.74,0
702,CASH_OUT,193.1,6031.64,5857.93,4634.74,4815.99,0
558,DEBIT,126.09,6819.33,6703.82,2555.91,2666.48,0
532,CASH_OUT,863.01,6663.75,5908.32,1536.2,2340.66,0
84,CASH_OUT,285.04,2611.98,2336.82,2465.5,2698.61,0
52,PAYMENT,277.57,5452.33,5222.58,989.13,1186.17,0
35,PAYMENT,148.82,6523.27,6391.46,3504.51,3613.87,0
441,PAYMENT,803.05,2512.5,1759.28,1338.93,1910.39,0
150,CASH_OUT,203.66,4988.14,4789.85,2501.09,2663.75,0
735,TRANSFER,400.31,5410.76,5060.92,3065.98,3405.7,0
99,PAYMENT,457.97,4548.85,4130.47,2384.77,2754.3,0
704,CASH_OUT,362.66,2221.76,1926.62,2094.47,2409.32,0
497,DEBIT,86.98,4511.45,4438.9,2010.8,2084.23,0
79,TRANSFER,532.05,4509.04,4076.04,1943.56,2424.2,0
44,DEBIT,201.9,4777.89,4586.98,1423.3,1605.03,0
295,CASH_OUT,583.59,4154.79,3654.3,1550.52,2014.72,0
252,CASH_OUT,316.31,4335.48,4036.65,3479.59,3733.86,0
235,DEBIT,478.03,4940.44,4551.67,1891.46,2310.0,0
393,PAYMENT,767.83,5663.68,4916.96,1214.2,1889.07,0
97,DEBIT,518.36,4543.36,4042.05,1483.7,1895.49,0
97,DEBIT,486.32,4385.53,3987.82,3100.37,3488.99,0
517,DEBIT,548.97,5138.53,4696.75,2675.61,3174.19,0
736,CASH_OUT,167.38,2118.63,1982.84,2560.33,2710.01,0
204,DEBIT,600.75,5715.55,5132.39,1742.48,2187.34,0
693,DEBIT,267.99,4999.16,4772.19,2573.36,2796.41,0
257,DEBIT,275.03,5059.54,4809.36,1356.44,1622.62,0
250,DEBIT,354.15,6441.1,6127.59,1740.39,1992.15,0
68,DEBIT,248.48,2070.78,1832.46,2969.8,3207.48,0
315,TRANSFER,137.69,2039.25,1915.63,2874.28,2977.4,0
370,CASH_OUT,334.14,5410.71,5109.94,1018.09,1302.84,0
494,TRANSFER,276.07,4989.32,4713.85,1144.47,1372.86,0
118,DEBIT,268.33,5255.27,5032.55,2108.7,2297.35,0
141,DEBIT,308.56,4306.81,4008.7,3726.13,4026.86,0
322,DEBIT,32.12,5996.53,5970.5,84.43,111.3,0
52,CASH_OUT,269.92,6398.96,6157.24,2278.33,2544.55,0
107,TRANSFER,832.5,5725.97,4912.4,623.96,1278.32,0
468,PAYMENT,788.95,4608.76,3872.64,1365.67,2122.97,0
709,CASH_OUT,343.04,1838.47,1517.03,1635.57,1970.62,0
426,CASH_OUT,334.31,6153.85,5868.8,1579.49,1869.35,0
108,CASH_OUT,21.51,6832.59,6813.58,1466.2,1482.56,0
737,CASH_OUT,211.84,5966.84,5781.84,2007.21,2199.05,0
388,DEBIT,545.15,3680.54,3187.57,1464.74,1936.13,0
533,PAYMENT,243.64,6010.69,5793.25,537.54,777.13,0
147,TRANSFER,676.36,6290.79,5705.48,2779.87,3342.45,0
430,CASH_OUT,648.79,7338.22,6779.55,2752.87,3259.29,0
57,DEBIT,208.36,3685.84,3508.7,2843.17,2997.67,0
465,DEBIT,362.72,4660.32,4343.66,459.27,789.2,0
151,DEBIT,876.62,6120.91,5393.33,2298.92,3168.73,0
676,DEBIT,84.93,5086.12,5003.36,2675.98,2736.15,0
41,DEBIT,248.06,3324.01,3095.69,968.8,1197.54,0
485,CASH_OUT,75.96,5621.92,5559.12,2009.17,2083.46,0
104,PAYMENT,156.81,5867.99,5720.78,1883.73,1997.01,0
511,CASH_OUT,1048.52,5131.94,4115.36,3842.15,4610.77,0
367,CASH_OUT,247.99,5329.38,5119.21,3924.5,4149.57,0
719,PAYMENT,43.52,4611.94,4575.81,335.64,374.56,0
485,DEBIT,136.37,7217.42,7108.09,4493.93,4592.2,0
277,CASH_OUT,67.36,3648.96,3594.44,1084.77,1148.78,0
65,DEBIT,373.2,4119.02,3763.57,2980.67,3300.51,0
443,PAYMENT,453.16,5016.48,4564.48,2970.5,3411.04,0
328,DEBIT,606.29,6318.43,5827.96,1004.31,1588.41,0
40,TRANSFER,524.89,2753.94,2255.5,2493.27,2988.64,0
432,CASH_OUT,89.29,3034.55,2961.83,1892.47,1968.79,0
157,CASH_OUT,436.85,1943.41,1542.2,2554.33,2893.11,0
175,CASH_OUT,298.24,5049.04,4765.35,2230.67,2484.71,0
7,DEBIT,667.01,3322.54,2741.01,3196.34,3683.42,0
277,PAYMENT,566.95,4423.17,3968.37,2075.4,2584.32,0
163,CASH_OUT,1139.0,5992.07,4945.29,1832.13,2675.21,0
54,DEBIT,146.77,4037.69,3891.18,3096.06,3221.31,0
323,PAYMENT,127.95,5346.92,5237.97,2580.4,2672.05,0
164,TRANSFER,222.9,4550.99,4364.22,2731.81,2907.87,0
100,TRANSFER,307.59,6008.17,5754.47,1335.41,1572.14,0
347,CASH_OUT,187.8,5712.69,5541.59,954.74,1121.13,0
47,DEBIT,153.91,3962.1,3820.61,1432.28,1576.35,0
736,DEBIT,416.2,4747.02,4348.11,1379.18,1677.67,0
350,DEBIT,222.33,6565.62,6354.27,2786.2,2998.54,0
741,TRANSFER,180.95,5590.07,5413.01,2975.98,3149.37,0
655,CASH_OUT,89.11,2904.56,2818.91,1844.87,1916.4,0
728,PAYMENT,24.54,5983.43,5962.58,3430.92,3452.95,0
404,TRANSFER,805.82,3373.08,2638.84,3368.47,4029.87,0
315,PAYMENT,789.93,7118.77,6439.84,2243.4,2832.89,0
535,PAYMENT,578.97,6536.15,6034.79,1178.11,1675.21,0
60,DEBIT,487.74,5434.83,4953.73,3575.38,3929.43,0
625,DEBIT,205.51,5235.85,5043.41,1938.98,2137.0,0
241,CASH_OUT,501.94,4686.45,4187.06,2126.17,2616.71,0
6,PAYMENT,119.36,6017.79,5912.35,1660.39,1773.36,0
177,PAYMENT,356.17,4443.83,4120.61,1110.21,1419.64,0
181,PAYMENT,167.72,5353.35,5202.83,531.36,676.82,0
11,CASH_OUT,503.41,6307.9,5894.37,2632.87,3133.96,0
497,PAYMENT,916.03,4157.29,3381.1,1216.6,1925.95,0
71,TRANSFER,135.88,4075.71,3952.67,5059.53,5157.74,0
630,DEBIT,214.17,3208.45,3034.23,913.93,1099.95,0
337,DEBIT,351.2,3403.29,3056.9,742.62,1023.1,0
534,DEBIT,50.55,2257.41,2215.72,2510.14,2550.41,0
253,TRANSFER,71.06,6094.74,6035.08,3529.31,3579.2,0
99,CASH_OUT,898.37,7713.37,6857.17,2064.59,2854.14,0
135,PAYMENT,417.54,7137.99,6795.86,2572.24,2897.59,0
480,DEBIT,195.97,2560.87,2368.81,156.45,304.67,0
533,PAYMENT,323.48,6087.28,5781.55,1322.49,1552.85,0
199,CASH_OUT,223.68,7133.16,6951.15,926.38,1107.41,0
266,CASH_OUT,359.12,4314.79,3977.8,104.95,451.03,0
703,DEBIT,230.69,5152.17,4938.48,2116.98,2301.76,0
633,TRANSFER,304.39,1988.16,1698.54,-242.83,32.25,0
307,PAYMENT,535.17,5400.1,4883.32,677.8,1173.88,0
180,DEBIT,511.28,3404.66,2922.18,1462.81,1871.03,0
224,CASH_OUT,865.06,5299.45,4505.99,1168.71,1987.48,0
401,TRANSFER,439.23,2658.2,2278.49,2396.41,2795.04,0
422,TRANSFER,339.4,5814.29,5495.44,2305.58,2600.1,0
137,TRANSFER,951.01,6536.77,5593.94,2893.8,3559.79,0
49,TRANSFER,280.15,3825.23,3568.19,2752.38,2951.43,0
369,TRANSFER,28.31,3294.62,3268.21,3140.81,3169.04,0
593,TRANSFER,583.93,1765.97,1247.78,1998.08,2543.87,0
114,TRANSFER,402.27,4600.38,4217.73,2303.47,2698.21,0
304,PAYMENT,327.37,4127.61,3800.39,2511.51,2829.29,0
